OBJECTID,OBJORIG,DATEOFCHNG,GEWISSNR,NAMN,LAUFNR,BREITE,KLASSE,LINST,GWLNR,EXS,HOC,UUID,OBJORIG_YE,OBJVAL,slug,latitude,longitude,city,water_name,water,length
"19385",GN200,2010/10/18,"775",Alpbach,"0","8","8",CH,CH0007750000,Not applicable,Natural,{1F2CBC03-2A14-42E6-A290-0124BC82978C},"2010",Fluss,thur_schwarzenbach_meiliw,47.446786600000003,9.063815600000000,Wil (SG),Thur,r,"2210"
"12837",LK200,2005/01/01,"393",Salbach,"0","9","9",CH,CH0003930000,Not applicable,Natural,{1C11A3B2-BB93-4049-9F99-26A50EEBD84C},"2001",Fluss,bodensee_steinach_dolder_a,47.506299200000001,9.436171399999999,Steinach,Bodensee,l,"1079"
"12757",GN200,2010/09/17,"471",Gürbe,"0","7","7",CH,CH0004710000,Not applicable,Natural,{FA1DF3C0-E0C8-4479-9B68-F8D9CB58B9C2},"2010",Fluss,aare_bern_caveltin,46.923578800000001,7.473319100000000,Muri bei Bern,Aare,r,"1798"
"17661",TLM,2020/07/17,"1450",Glütschbach,"0","9","8",CH,CH0014500000,Not applicable,Natural,{8E301A84-20A0-4329-A939-F2DD8D881B01},"2020",Fluss,delta-park,46.720078000000001,7.635304000000000,Spiez,Thunersee,l,"815"
"21062",TLM,2020/07/24,"3562",Le Grand Canal,"0","19","9",CH,CH0035620000,Not applicable,Man-made,{10B42DC8-E389-4DC3-A7C6-CE28758E922E},"2020",Fluss,les-glariers,46.176735999999998,7.228925000000000,Riddes,Rhône,r,"1622"
"20568",TLM,2020/06/16,"11122",Torrente Dragonato,"0","9","9",CH,CH0111220000,Not applicable,Natural,{5C5EFFFC-300B-41AF-8315-8B3A7FCE2C44},"2020",Fluss,via-brunari-spiaggia,46.202350000000003,9.016909999999999,Bellinzona,Ticino,r,"489"
"19841",TLM,2020/01/27,"544",Worble,"0","8","8",CH,CH0005440000,Not applicable,Natural,{302430EA-4683-4AA3-9B32-43B3A6E71E14},"2019",Fluss,aare_bern_scheurerk,46.970967199999997,7.452585700000000,Bern,Aare,r,"371"
"16223",LK200,2005/01/01,"2524",Flybach,"999","9","9",CH,CH0025240999,Not applicable,Natural,{9EE05CA2-4C30-477B-A626-5B7D1423FC91},"1998",Seeachse,linth_mollis,47.131369999999997,9.094768000000000,Glarus Nord,Linthkanal,r,"815"
"20188",TLM,2020/07/22,"127",Le Venoge,"0","8","7",CH,CH0001270000,Not applicable,Natural,{35439273-7935-4574-A622-7BF6A0A0AF12},"2020",Fluss,preverenges,46.512689999999999,6.527657000000000,Préverenges,Lac Léman,l,"2007"
"12426",TLM,2020/07/08,"3527",Clavaniev,"0","9","9",CH,CH0035270000,Not applicable,Natural,{76ED4A1B-1AD1-454B-BD48-3834036D7B46},"2020",Fluss,vorderrhein_disentis_schmidn,46.698273899999997,8.857837300000000,Disentis/Mustér,Vorderrhein,r,"434"
"14698",GN200,2010/09/27,"430",Kander,"0","5","5",CH,CH0004300000,Not applicable,Natural,{A46E9CC5-D055-4C6E-951F-2D4AF9336477},"2010",Fluss,camping-gwatt-strand,46.727139999999999,7.629620000000000,Thun,Thunersee,l,"450"
"16972",TLM,2020/07/08,"575",Rein da Medel,"0","7","7",CH,CH0005750000,Not applicable,Natural,{BE4FE7F6-A0B8-415E-AAD4-1704D40D0A9E},"2020",Fluss,vorderrhein_disentis_schmidn,46.698273899999997,8.857837300000000,Disentis/Mustér,Vorderrhein,r,"1213"
"13265",GN200,2010/10/14,"2097",Rütibach,"0","10","10",CH,CH0020970000,Not applicable,Natural,{372B134C-3223-40DC-8467-B826C949009D},"2010",Fluss,thur_schoenenberg_schaera,47.524072599999997,9.198334700000000,Kradolf-Schönenberg,Thur,r,"1645"
"12249",GN200,2012/01/17,"294",Limmat,"2","6","4",CH,CH0002940002,Not applicable,Natural,{04BD509A-44C5-46C1-A0E9-52F722867C76},"2012",Fluss,aare_brugg_buchie,47.494855299999998,8.236558100000000,Brugg,Aare,r,"3361"
"16249",TLM,2015/09/15,"688",Dorfbach,"0","9","9",CH,CH0006880000,Not applicable,Natural,{97A18958-7F9B-40FF-B0DC-A33DB81CE9F9},"2015",Fluss,zurichsee_kusnachterhorn_thirkell-whitej,47.317684900000003,8.576860200000000,Küsnacht (ZH),Zürichsee,l,"1504"
"20842",TLM,2020/04/27,"2420",Linthkanal,"0","5","5",CH,CH0024200000,Not applicable,Natural,{714BC72A-A128-46D8-9690-424DC4F1CF0B},"2020",Fluss,aabach,47.220989000000003,8.940365000000000,Schmerikon,Zürichsee,l,"1226"
"14049",TLM,2020/05/13,"95",Le Rhône,"0","1","4",CH,CH0000950000,Not applicable,Natural,{E34212BF-88A0-4C82-8A30-406C99DC0E44},"2020",Seeachse,baby-plage-ii-geneve,46.208939999999998,6.164330000000000,Genève,Lac Léman,l,"673"
"14453",TLM,2015/09/22,"3213",Le Bey,"0","9","9",CH,CH0032130000,Not applicable,Natural,{6EF4D853-3243-450C-B525-230EBF134C91},"2015",Fluss,pecos-plage,46.803590000000000,6.636650000000000,Grandson,Neuenburgersee,l,"700"
"19609",GN200,2010/09/28,"160",La Mèbre,"0","9","8",CH,CH0001600000,Not applicable,Natural,{1A55C0F2-1664-437F-8DF2-DCF4A79CC16A},"2010",Fluss,plage-de-dorigny,46.518169000000000,6.583319000000000,Saint-Sulpice (VD),Lac Léman,l,"1984"
"15184",TLM,2020/05/08,"577",Sihl,"0","6","6",CH,CH0005770000,Not applicable,Natural,{030F8739-E0F2-417D-B1F8-14B98657DE5B},"2020",Fluss,sihl_menzingen_kucharska_magdalena,47.191501199999998,8.618421400000004,Menzingen,Sihl,r,"3117"
"19418",TLM,2015/09/21,"136877",Dorfbach (Aefligen),"0","8","7",CH,CH1368770000,Not applicable,Natural,{A16AC6B3-4BF3-4B0A-AF30-DC3E8C0065E1},"2015",Fluss,emme_utzenstorf_gruttert,47.123696000000002,7.539627000000000,Utzenstorf,Emme,r,"704"
"23641",TLM,2020/07/24,"3955",L'Avançon,"0","10","10",CH,CH0039550000,Not applicable,Natural,{6B5C6626-DBEB-47EF-B0EE-FECBF2A1F943},"2020",Fluss,lavey-les-bains,46.205158699999998,7.012722000000000,Lavey-Morcles,Rhône,r,"95"
"16388",TLM,2020/04/27,"13566",Steinenbach,"0","17","7",CH,CH0135660000,Not applicable,Man-made,{5CAF6273-0D80-4D0C-ADD0-4CAD13C636CB},"2020",Fluss,aabach,47.220989000000003,8.940365000000000,Schmerikon,Zürichsee,l,"1262"
"13951",TLM,2020/01/27,"95",Le Rhône,"0","4","4",CH,CH0000950000,Not applicable,Natural,{7B158718-28C4-4636-9CE7-A5906B42C450},"2019",Fluss,les-vieux-ronquoz,46.222048700000002,7.361664000000000,Sion,Rhône,r,"2850"
"14314",TLM,2015/09/21,"468",Emme,"0","6","5",CH,CH0004680000,Not applicable,Natural,{62B2A50A-ED5C-4175-8937-0B3FE578E7DE},"2015",Fluss,spackmatt,47.223748999999998,7.576711000000000,Luterbach,Aare,r,"1339"
"14078",TLM,2015/09/17,"2532",Helgenbach,"0","10","10",CH,CH0025320000,Not applicable,Natural,{ACC0BCCD-9B3F-429E-B13A-652C2F3267EE},"2015",Fluss,walensee_walenstadt_wysse,47.121828200000003,9.299551700000000,Walenstadt,Walensee,l,"758"
