OBJORIG_YE,OBJORIG,OBJECTID,DATEOFCHNG,NAMN1,NAMN2,UUID,OBJVAL,NLN1,NLN2,slug,latitude,longitude,city,water_name,water,area
"2022",TLM,"2944",2022/07/08,N_A,N_A,{1DD6BD0A-EC17-4EA9-8C2C-FE28E678A5FF},Wald,N_A,N_A,sorne_birse_wwfjura,47.370986799999997,7.360909900000000,Delémont,Birs,r,"253568"
"2019",TLM,"2963",2019/03/22,N_A,N_A,{BC2622F9-1DB6-4321-971D-567972387DA6},Wald,N_A,N_A,limmat_zuerich_jansena,47.400024700000003,8.484684700000004,Zürich,Limmat,r,"55550"
"2019",TLM,"2963",2019/03/22,N_A,N_A,{BC2622F9-1DB6-4321-971D-567972387DA6},Wald,N_A,N_A,limmat_zuerich_wagnerc,47.403495599999999,8.477770100000004,Zürich,Limmat,r,"259368"
"2019",TLM,"2963",2019/03/22,N_A,N_A,{BC2622F9-1DB6-4321-971D-567972387DA6},Wald,N_A,N_A,limmat_zurich_mortensena_meiera,47.400251500000003,8.485410999999999,Zürich,Limmat,r,"50568"
"2020",TLM,"2966",2020/04/30,N_A,N_A,{3B0C31B9-938D-473D-96AB-FE5C1C7B9812},Wald,N_A,N_A,aare_suhrespitz_badert,47.405669199999998,8.066018000000000,Aarau,Aare,r,"337457"
"2019",TLM,"2984",2019/03/22,N_A,N_A,{76C5C324-0F58-4E62-AE5A-C6D6EF8CE748},Wald,N_A,N_A,chriesbach_duebendorf_schneidera,47.402919500000003,8.605145800000004,Dübendorf,Chriesbach,r,"104413"
"2021",TLM,"3001",2021/07/15,N_A,N_A,{A59CA3F6-19E6-4221-87CB-27D8FA4D4A29},Wald,N_A,N_A,limmat_zuerich_suterdglauserp,47.394539299999998,8.513443499999999,Zürich,Limmat,r,"633680"
"2020",TLM,"3012",2020/05/12,N_A,N_A,{8B3866AF-ED92-47C1-8D47-4CC442D6CD9C},Wald,N_A,N_A,limmat_dietikon_keiserp,47.407989100000002,8.409539799999999,Dietikon,Limmat,r,"493460"
"2020",TLM,"3012",2020/05/12,N_A,N_A,{8B3866AF-ED92-47C1-8D47-4CC442D6CD9C},Wald,N_A,N_A,limmat_unterengstringen_oggierbuhrer,47.409400300000001,8.446933400000002,Unterengstringen,Limmat,r,"12948"
"2020",TLM,"3020",2020/05/12,N_A,N_A,{B32A2808-ACF7-4E82-9FD8-68AFEE7DB06F},Wald,N_A,N_A,aare_suhrespitz_badert,47.405669199999998,8.066018000000000,Aarau,Aare,r,"366181"
"1993",LK200,"3039",2005/01/01,N_A,N_A,{866F161C-EB61-4D27-B041-337033CDC13E},Wald,N_A,N_A,limmat_dietikon_keiserp,47.407989100000002,8.409539799999999,Dietikon,Limmat,r,"41736"
"2008",GN200,"3048",2008/11/04,N_A,N_A,{CFCEAA93-EA5F-4CBA-B62B-8D026D259BB0},Wald,N_A,N_A,aare_suhrespitz_badert,47.405669199999998,8.066018000000000,Aarau,Aare,r,"126365"
"2008",GN200,"3053",2008/11/04,N_A,N_A,{3BBC7886-D47B-4AC2-A293-CD4A80D28EB6},Wald,N_A,N_A,aare_suhrespitz_badert,47.405669199999998,8.066018000000000,Aarau,Aare,r,"46404"
"1993",LK200,"3066",2005/01/01,N_A,N_A,{E0490D11-06AF-4134-80E5-E14CA80E36A1},Wald,N_A,N_A,limmat_dietikon_keiserp,47.407989100000002,8.409539799999999,Dietikon,Limmat,r,"60026"
"2004",GN200,"3144",2005/10/27,N_A,N_A,{781812E0-04B6-4676-AA70-0C2EEDE1BF06},Wald,N_A,N_A,greifensee_greifensee_simmenc,47.363572300000001,8.675699099999999,Greifensee,Greifensee,l,"84076"
"2022",TLM,"3171",2022/04/27,N_A,N_A,{9D7AE3B2-B835-46B4-8474-E5E6F2E703FA},Wald,N_A,N_A,toss_bauma_kurthe,47.370175699999997,8.867824900000000,Bauma,Töss,r,"509664"
"2022",TLM,"3176",2022/04/27,N_A,N_A,{E7C98EB7-DBD0-40AE-9A95-FE3F694165F0},Wald,N_A,N_A,toss_bauma_kurthe,47.370175699999997,8.867824900000000,Bauma,Töss,r,"395552"
"2020",TLM,"3185",2020/05/04,N_A,N_A,{A96B479A-0235-47DE-A8DF-F831D0DD96AD},Wald,N_A,N_A,greifensee_fallanden_meistery,47.360938099999998,8.653722800000002,Fällanden,Greifensee,l,"459322"
"2020",TLM,"3185",2020/05/04,N_A,N_A,{A96B479A-0235-47DE-A8DF-F831D0DD96AD},Wald,N_A,N_A,greifensee_fallanden_simmenc,47.359714099999998,8.654843300000000,Fällanden,Greifensee,l,"397525"
"1993",LK200,"3203",2005/01/01,N_A,N_A,{6D58F5ED-9D10-4796-BD6F-43CB178D70A4},Wald,N_A,N_A,greifensee_fallanden_meistery,47.360938099999998,8.653722800000002,Fällanden,Greifensee,l,"587229"
"1993",LK200,"3203",2005/01/01,N_A,N_A,{6D58F5ED-9D10-4796-BD6F-43CB178D70A4},Wald,N_A,N_A,greifensee_fallanden_simmenc,47.359714099999998,8.654843300000000,Fällanden,Greifensee,l,"671245"
"2021",TLM,"3211",2021/06/09,N_A,N_A,{09158BEF-02A5-4E60-9ABC-3BEE22533869},Wald,N_A,N_A,reuss,47.329869100000003,8.356849300000000,Bremgarten (AG),Reuss,r,"572888"
"2016",TLM,"3229",2016/02/19,N_A,N_A,{C63FF116-9304-43F0-ACDE-B18E3930E205},Wald,N_A,N_A,urnaesch_urnaesch_meierr,47.325098599999997,9.295418800000000,Hundwil,Urnäsch,r,"205434"
"1993",LK200,"3231",2014/03/05,N_A,N_A,{D25F2235-6488-4B56-8089-47560348002C},Wald,N_A,N_A,greifensee_greifensee_simmenc,47.363572300000001,8.675699099999999,Greifensee,Greifensee,l,"1884"
