OBJECTID,UUID,DATUM_AEND,OBJEKTART,KANTONSNUM,KANTONSFLA,NAME,ICC,EINWOHNERZ,slug,water_name,water
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",baye-de-clarens,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",baye-de-montreux-d,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",baye-de-montreux-g,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",boiron,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",cully-plage,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",la-morges,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",la-pecherie,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",la-petite-plage,Neuenburgersee,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",la-thiele_le-mujon_confluence,La Thièle,r
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",lacleman_gland_kubela,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",lacleman_gland_lecoanets,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",lacleman_vidy_santie,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",lavey-la-source,Rhône,r
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",le-pierrier,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",le-port,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",maladaire,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",ognonnaz-1,Ognonnaz,r
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",oyonne,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",parc-des-pierrettes,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",pecos-plage,Neuenburgersee,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",pierrier-sud,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",plage-de-dorigny,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",plage-de-st-sulpice,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",preverenges,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",preverenges-le-sout,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",quai-maria-belgia,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",rolle-plage,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",saint-sulpice,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",signalpain,Neuenburgersee,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",tiger-duck-beach,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",tolochenaz,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",veveyse,Lac Léman,l
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",vidy,Lac Léman,l
