yx,loc_date,date,slug,team,pcs/m,quantity
Year 3,"('lacleman_gland_kubela', '2018-02-19')",2018-02-19,lacleman_gland_kubela,SLR,0.71,5.0
Year 3,"('lacleman_gland_kubela', '2018-03-18')",2018-03-18,lacleman_gland_kubela,SLR,31.98,224.0
Year 3,"('lacleman_gland_lecoanets', '2017-11-17')",2017-11-17,lacleman_gland_lecoanets,SLR,1.0,87.0
Year 3,"('lacleman_gland_lecoanets', '2017-12-16')",2017-12-16,lacleman_gland_lecoanets,SLR,0.29,27.0
Year 3,"('lacleman_gland_lecoanets', '2018-01-19')",2018-01-19,lacleman_gland_lecoanets,SLR,0.22999999999999998,21.0
Year 3,"('lacleman_gland_lecoanets', '2018-02-19')",2018-02-19,lacleman_gland_lecoanets,SLR,0.1,10.0
Year 3,"('lacleman_gland_lecoanets', '2018-03-18')",2018-03-18,lacleman_gland_lecoanets,SLR,3.9499999999999997,338.0
Year 3,"('lacleman_vidy_santie', '2017-11-17')",2017-11-17,lacleman_vidy_santie,SLR,2.9,78.0
Year 3,"('lacleman_vidy_santie', '2017-12-26')",2017-12-26,lacleman_vidy_santie,SLR,3.35,90.0
Year 3,"('lacleman_vidy_santie', '2018-01-23')",2018-01-23,lacleman_vidy_santie,SLR,6.5,175.0
Year 3,"('lacleman_vidy_santie', '2018-02-26')",2018-02-26,lacleman_vidy_santie,SLR,7.68,207.0
Year 3,"('lacleman_vidy_santie', '2018-03-26')",2018-03-26,lacleman_vidy_santie,SLR,9.23,249.0
Year 3,"('preverenges', '2018-05-04')",2018-05-04,preverenges,PC,1.1600000000000001,58.0
Year 3,"('preverenges', '2018-07-11')",2018-07-11,preverenges,PC,4.78,145.0
Year 3,"('quai-maria-belgia', '2018-02-11')",2018-02-11,quai-maria-belgia,HD,2.69,99.0
Year 3,"('quai-maria-belgia', '2018-03-25')",2018-03-25,quai-maria-belgia,HD,4.53,167.0
Year 3,"('saint-sulpice', '2018-11-06')",2018-11-06,saint-sulpice,SWE,8.19,147.0
Year 3,"('tiger-duck-beach', '2018-10-16')",2018-10-16,tiger-duck-beach,SWE,77.1,1387.0
Year 4,"('parc-des-pierrettes', '2019-10-10')",2019-10-10,parc-des-pierrettes,SWE,5.31,160.0
Year 4,"('rolle-plage', '2019-10-24')",2019-10-24,rolle-plage,SWE,9.75,146.0
Year 5,"('baby-plage-geneva', '2020-05-05')",2020-05-05,baby-plage-geneva,ASL,2.14,224.0
Year 5,"('baby-plage-geneva', '2020-06-09')",2020-06-09,baby-plage-geneva,ASL,2.56,256.0
Year 5,"('baby-plage-geneva', '2020-07-07')",2020-07-07,baby-plage-geneva,ASL,17.88,1788.0
