slug,use,magnitude,hex minus,scaled,binned
bain-des-dames,Strasse,64256,,0.47353866598917316,10
baye-de-clarens,Strasse,57220,,0.40478610095956535,9
baye-de-montreux-d,Strasse,61893,,0.4504485137485587,10
baye-de-montreux-g,Strasse,61130,,0.4429928276886396,9
boiron,Strasse,31911,,0.15747816060505385,4
cully-plage,Strasse,55254,,0.38557525064003595,8
grand-clos,Strasse,35120,,0.18883503683871095,4
jardin-botanique,Strasse,85907,,0.6851023080380699,14
la-morges,Strasse,64087,,0.4718872754988372,10
la-pecherie,Strasse,34815,,0.1858547167230159,4
lacleman_gland_kubela,Strasse,39706,,0.23364732552912895,5
lacleman_gland_lecoanets,Strasse,39718,,0.23376458402548417,5
lacleman_vidy_santie,Strasse,104796,,0.8696769528425414,18
le-pierrier,Strasse,57095,,0.4035646582891985,9
le-port,Strasse,69591,,0.5256698391604292,11
maladaire,Strasse,64783,,0.47868826828743966,10
oyonne,Strasse,95799,,0.7817623952002188,16
parc-des-pierrettes,Strasse,73082,,0.5597822900584338,12
pierrier-sud,Strasse,60942,,0.4411557779124079,9
plage-de-dorigny,Strasse,96592,,0.789511227501026,16
plage-de-st-sulpice,Strasse,65518,,0.4858703511891966,10
preverenges-le-sout,Strasse,54900,,0.3821161249975571,8
quai-maria-belgia,Strasse,68417,,0.514198049600344,11
rocky-plage,Strasse,104103,,0.8629052746780277,18
rolle-plage,Strasse,63987,,0.47091012136254373,10
saint-sulpice,Strasse,52597,,0.35961226523871875,8
tiger-duck-beach,Strasse,95764,,0.7814203912525162,16
veveyse,Strasse,68896,,0.5188786179131897,11
vidy-ruines,Strasse,98209,,0.8053118098848913,17
villa-barton,Strasse,74153,,0.5702476108581368,12
