slug,magnitude,hex minus,use,scaled,binned
bielersee_vinelz_fankhausers,0,0,Obstanlage,0.0,0.0
bodensee_horn_huberm,904,0,dist,0.603874415497662,13.0
bodensee_horn_huberm,595764,3110691,Obstanlage,0.19152143366216703,4.0
bodensee_horn_huberm,1950085,3110691,Siedl,0.6268976892915432,13.0
bodensee_horn_huberm,10385,3110691,Wald,0.003338486529198818,1.0
bodensee_horn_huberm,554457,3110691,undefined,0.1782423905170909,4.0
bodensee_horn_huberm,45135,3110691,infrastructure,0.014509637890745176,1.0
bodensee_horn_huberm,59548,3110691,recreation,0.01914301356193849,1.0
bodensee_horn_huberm,48924,0,Strasse,0.21992552367928847,5.0
bodensee_horn_huberm,1211,0,length,0.10010043521928357,3.0
bodensee_horn_huberm,0,0,Stadtzentr,0.0,0.0
bodensee_horn_huberm,0,0,Reben,0.0,0.0
bodensee_steinach_dolder_a,66,0,dist,0.04408817635270541,1.0
bodensee_steinach_dolder_a,348226,4130751,Obstanlage,0.0843008934694926,2.0
bodensee_steinach_dolder_a,3182085,4130751,Siedl,0.7703405506650002,16.0
bodensee_steinach_dolder_a,600440,4130751,undefined,0.14535855586550728,3.0
bodensee_steinach_dolder_a,244547,4130751,infrastructure,0.05920158344088036,2.0
bodensee_steinach_dolder_a,149868,4130751,recreation,0.03628105397783599,1.0
bodensee_steinach_dolder_a,88691,0,Strasse,0.4446371963451226,9.0
bodensee_steinach_dolder_a,3793,0,length,0.31620354871108136,7.0
bodensee_steinach_dolder_a,0,0,Wald,0.0,0.0
bodensee_steinach_dolder_a,0,0,Stadtzentr,0.0,0.0
bodensee_steinach_dolder_a,0,0,Reben,0.0,0.0
boiron,48,0,dist,0.03206412825651302,1.0
boiron,238138,2092118,Obstanlage,0.11382627557336632,3.0
boiron,178933,2092118,Reben,0.08552720257652771,2.0
boiron,729937,2092118,Siedl,0.34889858029040427,7.0
boiron,104484,2092118,Wald,0.049941733688061575,1.0
boiron,840626,2092118,undefined,0.4018062078716401,9.0
boiron,18041,2092118,infrastructure,0.008623318569985059,1.0
boiron,31911,0,Strasse,0.12379004232379683,3.0
boiron,1586,0,length,0.1314864412453967,3.0
boiron,0,0,Stadtzentr,0.0,0.0
boiron,0,0,recreation,0.0,0.0
camp-des-peches,291,0,dist,0.19438877755511022,4.0
camp-des-peches,390454,4393837,Reben,0.08886401566557886,2.0
camp-des-peches,1626003,4393837,Siedl,0.37006447895085776,8.0
camp-des-peches,275463,4393837,Wald,0.06269304027436612,2.0
camp-des-peches,2101917,4393837,undefined,0.4783784651091973,10.0
camp-des-peches,109646,4393837,infrastructure,0.024954498767250585,1.0
camp-des-peches,152529,4393837,recreation,0.034714305514747135,1.0
