slug,city,water_name,use,water,magnitude,hex minus,scaled
greifensee_uster_fischerb_-2,Uster,Greifensee,infrastructure,l,59490,3177353,0.018723132116576283
greifensee_uster_fischerb_1,Uster,Greifensee,infrastructure,l,74210,3275516,0.02265597237198658
grendelbach_effretikon_dambonec,Illnau-Effretikon,Grändelbach,infrastructure,r,181496,5845672,0.03104792742391294
gummligrabbe,Kallnach,Aare,infrastructure,r,71146,5845672,0.012170713649346045
hafeli,Bönigen,Brienzersee,infrastructure,l,45661,3413794,0.01337544093170238
hauterive-petite-plage,Hauterive (NE),Neuenburgersee,infrastructure,l,119826,4125889,0.029042468180796914
impromptu_cudrefin,Cudrefin,Neuenburgersee,infrastructure,l,13973,3168905,0.004409409559453502
inn_pradella_kohlt,Scuol,Inn,infrastructure,r,84777,5845672,0.014502524260683802
isole-di-brissago-porto,Brissago,Lago Maggiore,infrastructure,l,26003,704089,0.03693141065973194
jardin-botanique,Genève,Lac Léman,infrastructure,l,806028,3380938,0.23840366194233673
jona-river-rastplatz,Rapperswil-Jona,Jona,infrastructure,r,84215,5845672,0.014406384757817407
